CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0017851807,F,15/09/59,23/02/98,38,20-40,30-40,East,F,47,01/07/90,1,0.01,Midlands,Tin,1,14,8
0017854903,F,02/02/24,23/02/98,74,60-80,70-80,Midlands,D,27,07/01/91,0,3000,Midlands,Silver,0,9,8
0017855020,F,03/09/40,23/02/98,57,40-60,50-60,S & S East,F,48,31/03/93,2,3000,South East,Silver,1,14,5
0017860342,M,30/10/45,23/02/98,52,40-60,50-60,London,B,08,01/02/90,0,300,South East,Silver,0,,9
0017861225,F,13/09/56,23/02/98,41,40-60,40-50,Midlands,C,19,02/04/91,0,6105.32,Midlands,Gold,0,5,7
0017861748,M,30/05/57,23/02/98,40,40-60,40-50,Yorkshire,C,25,26/07/96,0,6000,North,Gold,0,5,2
0017862698,M,24/12/46,23/02/98,51,40-60,50-60,N West,E,36,01/10/91,0,0.01,North,Tin,0,,7
0017864984,,06/02/43,23/02/98,55,40-60,50-60,S West,F,51,05/03/92,0,3000,South West,Silver,0,12,6
0017865174,F,30/04/31,23/02/98,66,60-80,60-70,London,F,51,03/10/91,0,6053.35,South East,Gold,0,11,7
0017866413,F,22/04/47,23/02/98,50,40-60,50-60,Yorkshire,B,10,05/06/91,0,0.01,North,Tin,0,3,7
0017873223,M,12/08/37,23/02/98,,,,Wales & West,E,37,25/01/94,0,0.01,Midlands,Tin,0,12,5
0017880955,,30/04/49,23/02/98,48,40-60,40-50,Border,B,15,25/05/90,0,0.01,Scottish,Tin,0,11,8
0017881811,F,04/02/29,23/02/98,69,60-80,60-70,Yorkshire,E,37,01/04/96,0,6000,North,Gold,0,11,2
0017882133,F,23/08/50,23/02/98,47,40-60,40-50,N East,B,11,29/01/91,0,3000,North,Silver,0,11,8
0017882249,M,26/12/66,23/02/98,31,20-40,30-40,N East,C,25,14/01/94,0,0.01,North,Tin,0,,5
0017883008,,27/01/59,23/02/98,39,20-40,30-40,Midlands,E,38,04/11/93,0,1000.01,Midlands,Silver,0,8,5
0017884020,F,20/01/46,23/02/98,52,40-60,50-60,N West,A,04,30/06/88,0,523.95,North,Silver,0,10,10
0017885116,M,04/05/39,23/02/98,58,40-60,50-60,Wales & West,B,08,11/07/96,0,8000,Midlands,Gold,0,13,2
0017889863,F,23/04/60,23/02/98,37,20-40,30-40,N Scot,E,38,04/08/97,1,6000,Scottish,Gold,1,6,1
0017892600,M,05/07/21,23/02/98,76,60-80,70-80,S & S East,D,30,17/05/86,0,1100,South East,Silver,0,9,12
0017894034,M,28/01/31,23/02/98,67,60-80,60-70,London,B,12,02/10/96,1,6000,South East,Gold,1,10,2
0017897777,F,28/10/39,23/02/98,58,40-60,50-60,Yorkshire,C,23,06/02/91,0,1000,North,Silver,0,11,8
0017899362,M,24/06/59,23/02/98,38,20-40,30-40,London,A,01,22/11/95,1,3000,South East,Silver,1,5,3
0017900719,M,06/08/51,23/02/98,46,40-60,40-50,Midlands,D,34,01/03/90,0,0.01,Midlands,Tin,0,6,8
0017901383,F,13/07/39,23/02/98,58,40-60,50-60,Wales & West,F,49,01/01/90,2,3220,Midlands,Silver,1,13,9
0017901928,F,22/07/22,23/02/98,75,60-80,70-80,Midlands,B,14,23/02/94,0,3000,Midlands,Silver,0,9,5
0017904706,M,24/04/66,23/02/98,31,20-40,30-40,London,F,52,02/02/94,1,0.01,South East,Tin,1,8,5
0017907691,F,07/02/55,23/02/98,,,,C Scotland,B,10,05/12/93,2,0.01,Scottish,Tin,1,13,5
0017908531,F,14/06/46,23/02/98,51,40-60,50-60,N West,B,12,19/09/94,0,6000,North,Gold,0,3,4
0017911524,F,17/09/37,23/02/98,60,60-80,60-70,London,F,52,24/02/90,0,1000,South East,Silver,0,4,9
0017913217,F,20/05/40,23/02/98,57,40-60,50-60,Yorkshire,F,49,18/08/95,0,6000,North,Gold,0,8,3
0017914043,F,14/03/60,23/02/98,37,20-40,30-40,S & S East,,,29/01/94,0,0.01,South East,Tin,0,7,5
0017916097,F,30/12/43,23/02/98,54,40-60,50-60,Wales & West,B,06,31/10/94,0,0.01,Midlands,Tin,0,9,4
0017918111,F,26/02/50,23/02/98,48,40-60,40-50,S & S East,F,48,15/04/92,2,6053.35,South East,Gold,1,20,6
0017919770,F,27/02/58,23/02/98,40,40-60,40-50,London,C,22,23/04/88,0,500,South East,Silver,0,10,10
0017919908,F,21/11/20,23/02/98,77,60-80,70-80,London,A,03,15/02/89,0,10000,South East,Gold,0,9,10
0017920558,,29/12/22,23/02/98,75,60-80,70-80,N West,E,41,16/01/91,0,2400,North,Silver,0,8,8
0017922399,F,02/11/53,23/02/98,,,,London,C,21,01/05/90,0,0.01,South East,Tin,0,6,8
0017933161,M,16/11/56,23/02/98,41,40-60,40-50,London,C,21,01/04/90,0,0.01,South East,Tin,0,3,8
0017934591,F,11/10/39,23/02/98,58,40-60,50-60,N East,A,04,23/11/95,0,3000,North,Silver,0,8,3
0017944023,F,26/09/60,23/02/98,37,20-40,30-40,London,C,21,25/04/94,1,0.01,South East,Tin,1,13,4
0017950368,F,02/08/30,23/02/98,67,60-80,60-70,S & S East,D,30,28/11/70,1,10000,South East,Gold,1,9,28
0017951909,F,26/08/32,23/02/98,65,60-80,60-70,N West,D,28,17/02/93,1,11000,North,Gold,1,14,6
0017953839,M,23/06/65,23/02/98,32,20-40,30-40,N East,D,35,02/04/96,1,2500,North,Silver,1,6,2
0017954487,F,13/06/64,23/02/98,33,20-40,30-40,N West,F,52,26/07/94,0,3000,North,Silver,0,7,4
0017960703,F,07/07/45,23/02/98,52,40-60,50-60,N Scot,D,33,19/12/95,0,20728.91,Scottish,Platinum,0,5,3
0017962382,F,23/07/52,23/02/98,45,40-60,40-50,N West,D,33,,0,0.01,North,Tin,0,7,
0017962862,F,23/04/50,23/02/98,47,40-60,40-50,N East,B,10,21/09/96,2,6000,North,Gold,1,12,2
0017966264,F,19/04/41,23/02/98,56,40-60,50-60,East,,,25/03/88,2,1000,Midlands,Silver,1,13,10
0017971187,M,22/03/52,23/02/98,45,40-60,40-50,London,E,41,01/07/90,0,0.01,South East,Tin,0,7,8
0017971721,F,30/11/46,23/02/98,51,40-60,50-60,London,A,03,28/09/94,2,3750,South East,Silver,1,17,4
0017973139,F,29/12/56,23/02/98,41,40-60,40-50,East,C,17,11/01/91,2,3000,Midlands,Silver,1,16,8
0017974062,F,22/06/55,23/02/98,42,40-60,40-50,S & S East,D,34,01/06/90,1,0.01,South East,Tin,1,6,8
0017978335,F,11/05/38,23/02/98,59,40-60,50-60,London,F,52,17/02/90,2,1500,South East,Silver,1,16,9
0017980585,F,07/08/43,23/02/98,54,40-60,50-60,Midlands,E,37,10/02/93,0,0.01,Midlands,Tin,0,10,6
0017980828,,05/11/65,23/02/98,32,20-40,30-40,Midlands,E,37,02/01/91,0,3000,Midlands,Silver,0,7,8
0017982502,F,21/06/28,23/02/98,69,60-80,60-70,East,E,39,30/04/81,0,6400,Midlands,Gold,0,5,17
0017983436,F,17/01/20,23/02/98,78,60-80,70-80,London,A,04,29/10/82,0,0.01,South East,Tin,0,12,16
0017986869,M,22/09/33,23/02/98,64,60-80,60-70,Yorkshire,F,51,27/11/86,0,11600,North,Gold,0,,12
0017988381,F,22/12/50,23/02/98,47,40-60,40-50,N West,F,51,14/01/93,0,6000,North,Gold,0,10,6
0017989515,M,27/05/66,23/02/98,31,20-40,30-40,London,E,37,27/10/94,0,0.01,South East,Tin,0,14,4
0017989760,U,09/06/32,23/02/98,65,60-80,60-70,S & S East,D,34,30/04/87,0,100,South East,Silver,0,6,11
0017990661,F,05/06/49,23/02/98,48,40-60,40-50,Ulster,,,24/03/97,0,50,Midlands,Silver,0,7,1
0017991080,F,12/06/37,23/02/98,60,60-80,60-70,East,D,28,01/08/92,0,6053.35,Midlands,Gold,0,7,6
0017992214,M,24/10/24,23/02/98,73,60-80,70-80,S & S East,A,04,01/11/95,0,20579.72,South East,Platinum,0,13,3
0017993520,F,26/03/32,23/02/98,65,60-80,60-70,London,A,04,24/10/97,0,10000,South East,Gold,0,3,1
0017993768,F,13/10/66,23/02/98,31,20-40,30-40,N East,C,25,16/08/93,1,420,North,Silver,1,13,5
0018001637,,07/01/43,23/02/98,55,40-60,50-60,London,A,04,26/01/72,0,0.01,South East,Tin,0,17,27
0018001890,U,08/06/38,23/02/98,59,40-60,50-60,East,F,53,28/04/97,0,6000,Midlands,Gold,0,6,1
0018008445,F,02/12/64,23/02/98,33,20-40,30-40,Midlands,D,27,24/02/94,1,0.01,Midlands,Tin,1,11,4
0018009468,F,26/11/35,23/02/98,62,60-80,60-70,East,C,17,28/09/93,0,0.01,Midlands,Tin,0,11,5
0018013236,F,07/11/23,23/02/98,74,60-80,70-80,S & S East,C,24,30/07/82,0,2000,South East,Silver,0,9,16
0018014917,,03/06/40,23/02/98,57,40-60,50-60,London,B,12,13/11/92,0,3000,South East,Silver,0,10,6
0018016073,M,30/05/48,23/02/98,,,,,E,40,25/11/86,0,5000,,Silver,0,10,12
0018018556,F,22/03/47,23/02/98,50,40-60,50-60,London,U,55,22/11/93,0,0.01,South East,Tin,0,7,5
0018025072,F,20/09/19,23/02/98,78,60-80,70-80,London,B,12,24/03/83,0,4300,South East,Silver,0,12,15
0018025579,M,17/01/25,23/02/98,73,60-80,70-80,S & S East,E,38,17/03/93,0,4000,South East,Silver,0,9,5
0018025927,F,14/10/47,23/02/98,50,40-60,50-60,N East,D,27,01/02/90,0,600,North,Silver,0,4,9
0018027164,M,14/11/37,23/02/98,60,60-80,60-70,N West,D,30,01/06/90,0,0.01,North,Tin,0,6,8
0018030920,U,08/03/63,23/02/98,34,20-40,30-40,C Scotland,F,47,21/12/93,1,0.01,Scottish,Tin,1,8,5
0018031293,M,12/05/65,23/02/98,32,20-40,30-40,Wales & West,F,49,01/11/90,0,0.01,Midlands,Tin,0,4,8
0018033741,,18/08/38,23/02/98,59,40-60,50-60,London,C,19,29/03/97,0,6000,South East,Gold,0,8,1
0018034403,F,08/05/41,23/02/98,56,40-60,50-60,Midlands,C,16,22/12/93,0,0.01,Midlands,Tin,0,8,5
0018035140,F,13/10/19,23/02/98,78,60-80,70-80,Midlands,F,51,04/10/89,0,12000,Midlands,Gold,0,6,9
0018036457,F,09/05/31,23/02/98,66,60-80,60-70,Midlands,B,14,18/01/94,0,1500,Midlands,Silver,0,3,5
0018037852,F,08/03/60,23/02/98,37,20-40,30-40,S & S East,,,17/05/94,1,0.01,South East,Tin,1,12,4
0018043828,,17/08/19,23/02/98,78,60-80,70-80,S & S East,C,24,15/03/88,0,3000,South East,Silver,0,7,10
0018046894,F,31/05/37,23/02/98,60,60-80,60-70,N West,C,25,16/07/97,0,6000,North,Gold,0,4,1
0018047602,,14/12/52,23/02/98,45,40-60,40-50,London,D,34,24/10/97,0,2000,South East,Silver,0,5,1
0018049605,M,05/12/45,23/02/98,52,40-60,50-60,C Scotland,D,27,04/04/97,0,3000,Scottish,Silver,0,,1
0018050697,F,12/09/31,23/02/98,66,60-80,60-70,East,C,19,01/02/90,0,0.01,Midlands,Tin,0,6,9
0018052991,F,05/01/73,23/02/98,25,20-40,20-30,N West,C,18,26/07/96,1,6000,North,Gold,1,7,2
0018053068,F,31/12/66,23/02/98,31,20-40,30-40,Yorkshire,D,32,20/05/97,2,2900,North,Silver,1,23,1
0018054439,F,10/05/31,23/02/98,66,60-80,60-70,N Scot,E,45,16/05/96,1,6000,Scottish,Gold,1,9,2
0018055419,U,08/03/26,23/02/98,72,60-80,70-80,S & S East,D,33,24/02/90,0,500,South East,Silver,0,5,9
0018061109,F,23/11/56,23/02/98,41,40-60,40-50,S & S East,C,18,29/05/90,1,0.01,South East,Tin,1,12,8
0018061702,M,19/06/56,23/02/98,41,40-60,40-50,C Scotland,A,03,06/09/91,0,0.01,Scottish,Tin,0,4,7
0018062997,F,05/08/65,23/02/98,32,20-40,30-40,London,F,48,10/02/94,1,1000,South East,Silver,1,9,5
0018063977,,13/12/63,23/02/98,34,20-40,30-40,S & S East,C,16,05/01/94,0,0.01,South East,Tin,0,8,5
0018064361,M,10/05/30,23/02/98,67,60-80,60-70,London,D,31,11/11/93,0,0.01,South East,Tin,0,9,5
0018065783,F,07/02/30,23/02/98,68,60-80,60-70,Yorkshire,D,27,26/06/97,0,6000,North,Gold,0,13,1
0018067859,F,12/11/46,23/02/98,51,40-60,50-60,Yorkshire,D,33,05/06/91,0,3026.67,North,Silver,0,8,7
0018069142,F,08/03/55,23/02/98,42,40-60,40-50,Ulster,,,25/03/93,0,12760,Midlands,Gold,0,7,5
0018072267,,05/03/21,23/02/98,77,60-80,70-80,Wales & West,E,44,01/06/90,0,0.01,Midlands,Tin,0,8,8
0018075045,F,28/06/71,23/02/98,26,20-40,20-30,Midlands,F,51,08/02/96,1,40,Midlands,Silver,1,9,3
0018076025,F,16/01/45,23/02/98,53,40-60,50-60,S & S East,F,49,10/10/97,0,2000,South East,Silver,0,,1
0018076335,F,30/12/29,23/02/98,68,60-80,60-70,London,D,28,30/04/84,1,16884.25,South East,Gold,1,7,14
0018078281,M,17/05/66,23/02/98,31,20-40,30-40,East,F,53,14/02/94,0,0.01,Midlands,Tin,0,11,5
0018078613,M,29/06/28,23/02/98,69,60-80,60-70,London,D,28,30/09/93,0,3500,South East,Silver,0,5,5
0018079229,M,22/03/58,23/02/98,39,20-40,30-40,Ulster,,,02/02/93,1,5000,Midlands,Silver,1,8,6
0018079830,F,10/02/43,23/02/98,55,40-60,50-60,S & S East,E,41,01/10/97,0,10000,South East,Gold,0,11,1
0018084966,,27/04/49,23/02/98,48,40-60,40-50,S & S East,D,33,26/05/95,0,3000,South East,Silver,0,12,3
0018086543,F,14/02/64,23/02/98,34,20-40,30-40,Wales & West,D,35,08/05/96,3,1000,Midlands,Silver,1,23,2
0018086926,F,23/05/61,23/02/98,36,20-40,30-40,London,F,52,14/02/95,1,47.71,South East,Silver,1,14,4
0018089518,F,22/04/47,23/02/98,50,40-60,50-60,N West,C,16,04/02/92,0,3000,North,Silver,0,11,7
0018094430,,07/03/46,23/02/98,52,40-60,50-60,N West,D,35,24/09/93,0,0.01,North,Tin,0,5,5
0018096409,U,12/02/35,23/02/98,63,60-80,60-70,,C,24,10/02/97,1,6000,,Gold,1,11,2
0018100465,F,08/12/59,23/02/98,38,20-40,30-40,London,F,53,04/07/90,1,0.01,South East,Tin,1,8,8
0018100880,M,04/09/32,23/02/98,65,60-80,60-70,London,C,19,01/02/90,0,0.01,South East,Tin,0,12,9
0018104819,M,15/01/54,23/02/98,44,40-60,40-50,N East,F,51,25/05/95,1,10500,North,Gold,1,8,3
0018105459,F,22/12/45,23/02/98,52,40-60,50-60,N West,F,52,14/10/97,0,8385,North,Gold,0,6,1
0018105521,F,13/12/38,23/02/98,59,40-60,50-60,Wales & West,B,12,17/11/95,0,20733.74,Midlands,Platinum,0,6,3
0018106854,F,06/04/63,23/02/98,34,20-40,30-40,Midlands,E,41,24/02/93,3,0.01,Midlands,Tin,1,20,5
0018107354,F,16/02/47,23/02/98,51,40-60,50-60,S & S East,F,51,11/10/94,0,0.01,South East,Tin,0,16,4
0018107524,F,16/01/63,23/02/98,35,20-40,30-40,N West,F,50,22/09/94,0,0.01,North,Tin,0,8,4
0018108091,M,21/01/32,23/02/98,66,60-80,60-70,N East,E,38,16/01/91,0,3000,North,Silver,0,13,8
0018110002,,18/04/31,23/02/98,66,60-80,60-70,N East,F,52,20/02/93,0,6500,North,Gold,0,8,6
0018114776,U,04/12/24,23/02/98,73,60-80,70-80,Midlands,D,27,29/09/95,0,20096.56,Midlands,Platinum,0,11,3
0018114970,F,03/07/52,23/02/98,45,40-60,40-50,Yorkshire,D,32,14/05/97,0,480,North,Silver,0,12,1
0018117643,F,11/02/37,23/02/98,61,60-80,60-70,Yorkshire,F,53,14/11/95,0,2489.81,North,Silver,0,4,3
0018119387,F,03/11/43,23/02/98,54,40-60,50-60,S & S East,A,03,13/03/91,0,6105.32,South East,Gold,0,9,7
0018120997,,02/06/46,23/02/98,51,40-60,50-60,Wales & West,E,45,20/02/96,1,14000,Midlands,Gold,1,11,3
0018121837,F,11/02/51,23/02/98,47,40-60,40-50,Ulster,,,08/04/97,1,2400,Midlands,Silver,1,12,1
0018122167,M,11/10/41,23/02/98,56,40-60,50-60,London,E,44,06/05/97,1,6000,South East,Gold,1,6,1
0018122914,F,14/09/24,23/02/98,73,60-80,70-80,London,A,03,08/01/93,0,0.01,South East,Tin,0,9,6
0018126200,M,10/02/32,23/02/98,66,60-80,60-70,London,C,25,16/06/68,0,1000,South East,Silver,0,11,30
0018126340,,05/10/32,23/02/98,65,60-80,60-70,N West,F,47,25/08/93,1,1000,North,Silver,1,6,5
0018128068,F,31/08/53,23/02/98,44,40-60,40-50,London,C,19,21/09/93,1,0.01,South East,Tin,1,9,5
0018128270,F,19/09/36,23/02/98,61,60-80,60-70,Midlands,B,08,10/01/91,0,12000,Midlands,Gold,0,12,8
0018129021,M,23/10/39,23/02/98,58,40-60,50-60,East,B,10,14/11/97,2,7000,Midlands,Gold,1,15,1
0018132421,M,12/11/24,23/02/98,73,60-80,70-80,East,F,51,17/01/91,0,12000,Midlands,Gold,0,,8
0018133630,M,04/10/41,23/02/98,56,40-60,50-60,N West,E,37,30/05/97,0,600,North,Silver,0,7,1
0018138063,F,04/03/65,23/02/98,32,20-40,30-40,C Scotland,E,40,10/01/94,1,0.01,Scottish,Tin,1,14,5
0018140017,U,12/07/48,23/02/98,49,40-60,40-50,S & S East,B,08,01/08/90,0,0.01,South East,Tin,0,10,8
0018145515,F,15/10/27,23/02/98,70,60-80,70-80,C Scotland,C,18,31/01/84,1,16000,Scottish,Gold,1,7,15
0018146309,F,09/12/61,23/02/98,36,20-40,30-40,N West,F,50,04/02/88,0,15000,North,Gold,0,7,11
0018147313,F,27/04/67,23/02/98,30,20-40,30-40,East,C,23,04/11/97,1,25909.68,Midlands,Platinum,1,15,1
0018149243,F,07/02/56,23/02/98,42,40-60,40-50,Yorkshire,D,35,19/03/94,0,0.01,North,Tin,0,6,4
0018149448,M,24/03/34,23/02/98,,,,Yorkshire,F,47,24/02/90,0,2000,North,Silver,0,11,9
0018150594,M,10/08/62,23/02/98,35,20-40,30-40,East,C,25,01/02/96,1,8907.15,Midlands,Gold,1,13,3
0018151663,F,04/11/26,23/02/98,,,,S West,D,30,01/10/96,0,1000,South West,Silver,0,10,2
0018152368,F,15/05/56,23/02/98,41,40-60,40-50,East,F,52,10/02/94,0,0.01,Midlands,Tin,0,4,5
0018160182,M,27/12/55,23/02/98,42,40-60,40-50,London,B,12,01/03/92,1,0.01,South East,Tin,1,14,6
0018163394,,05/02/24,23/02/98,74,60-80,70-80,S West,C,16,26/08/92,0,0.01,South West,Tin,0,12,6
0018165346,F,08/04/22,23/02/98,75,60-80,70-80,Ulster,,,29/05/96,1,6000,Midlands,Gold,1,11,2
0018167381,M,07/10/27,23/02/98,70,60-80,70-80,London,E,44,11/01/91,0,3000,South East,Silver,0,7,8
0018169759,M,13/12/26,23/02/98,71,60-80,70-80,London,B,08,15/01/91,0,23000,South East,Platinum,0,4,8
0018172563,M,05/03/48,23/02/98,50,40-60,50-60,London,D,27,26/11/97,0,6000,South East,Gold,0,4,1
0018174167,F,26/10/34,23/02/98,63,60-80,60-70,Midlands,C,23,20/02/90,0,3000,Midlands,Silver,0,9,9
0018175783,F,08/06/46,23/02/98,51,40-60,50-60,East,C,19,27/09/93,0,0.01,Midlands,Tin,0,8,5
0018180183,F,18/11/63,23/02/98,34,20-40,30-40,S & S East,B,05,01/11/91,2,0.01,South East,Tin,1,20,7
0018180469,M,13/05/32,23/02/98,65,60-80,60-70,C Scotland,F,52,06/04/92,0,10626.68,Scottish,Gold,0,9,6
0018180671,M,13/11/49,23/02/98,48,40-60,40-50,East,B,08,18/07/94,0,2000,Midlands,Silver,0,6,4
0018181430,F,08/01/24,23/02/98,74,60-80,70-80,London,B,08,07/03/97,0,6000,South East,Gold,0,7,1
0018183409,F,06/01/64,23/02/98,34,20-40,30-40,Midlands,E,38,11/06/97,1,132.6,Midlands,Silver,1,7,1
0018186033,F,24/10/57,23/02/98,40,40-60,40-50,S & S East,A,02,01/01/92,0,0.01,South East,Tin,0,4,7
0018186475,M,13/08/53,23/02/98,44,40-60,40-50,Border,E,45,14/06/90,0,2000,Scottish,Silver,0,7,8
0018187625,U,26/07/66,23/02/98,31,20-40,30-40,East,D,32,27/03/96,0,6000,Midlands,Gold,0,6,2
0018188354,M,29/06/50,23/02/98,47,40-60,40-50,London,A,04,26/05/83,0,12000,South East,Gold,0,9,15
0018189199,M,11/02/58,23/02/98,40,40-60,40-50,S & S East,D,28,04/12/93,0,0.01,South East,Tin,0,9,5
0018189768,F,16/11/60,23/02/98,37,20-40,30-40,N West,E,38,08/02/94,3,3500,North,Silver,1,25,5
0018191142,F,29/02/60,23/02/98,38,20-40,30-40,Midlands,F,52,24/07/91,0,50,Midlands,Silver,0,6,7
0018192483,F,19/03/46,23/02/98,51,40-60,50-60,Ulster,,,29/09/93,0,0.01,Midlands,Tin,0,10,5
0018195857,M,10/03/69,23/02/98,28,20-40,20-30,Midlands,F,53,,0,0.01,Midlands,Tin,0,8,
0018196136,F,07/11/32,23/02/98,65,60-80,60-70,Ulster,,,27/03/97,0,12000,Midlands,Gold,0,8,1
0018197035,U,25/03/53,23/02/98,44,40-60,40-50,Wales & West,D,30,25/09/93,1,0.01,Midlands,Tin,1,8,5
0018197663,M,26/10/44,23/02/98,53,40-60,50-60,East,D,33,18/10/95,0,3000,Midlands,Silver,0,12,3
0018198554,U,30/11/64,23/02/98,,,,Midlands,E,38,27/01/94,0,1920,Midlands,Silver,0,10,5
0018200079,,04/08/49,23/02/98,48,40-60,40-50,London,A,04,10/11/97,0,5000,South East,Silver,0,7,1
0018201806,M,26/12/40,23/02/98,57,40-60,50-60,London,B,09,01/08/90,0,0.01,South East,Tin,0,12,8
0018202020,F,12/01/50,23/02/98,48,40-60,40-50,Midlands,C,19,31/03/97,2,6000,Midlands,Gold,1,12,1
0018203299,F,23/07/25,23/02/98,72,60-80,70-80,S West,E,44,25/07/97,0,13483.15,South West,Gold,0,10,1
0018203515,F,10/09/33,23/02/98,64,60-80,60-70,London,D,32,25/08/78,0,8000,South East,Gold,0,9,20
0018203817,M,06/03/55,23/02/98,43,40-60,40-50,London,A,04,01/10/91,0,0.01,South East,Tin,0,9,7
0018207383,F,31/07/43,23/02/98,54,40-60,50-60,London,C,19,01/02/90,0,1100,South East,Silver,0,5,9
0018210740,F,10/07/30,23/02/98,67,60-80,60-70,Yorkshire,F,52,06/08/93,0,6000,North,Gold,0,5,5
0018211070,M,27/12/49,23/02/98,48,40-60,40-50,East,F,49,12/02/90,0,500,Midlands,Silver,0,9,9
0018212026,M,28/09/45,23/02/98,52,40-60,50-60,N East,A,01,21/08/95,0,10000,North,Gold,0,12,3
0018213006,M,21/04/43,23/02/98,54,40-60,50-60,S & S East,A,02,09/06/87,0,2000,South East,Silver,0,8,11
0018213707,F,18/08/57,23/02/98,40,40-60,40-50,Midlands,D,33,01/03/90,0,0.01,Midlands,Tin,0,12,8
0018215106,F,03/09/41,23/02/98,56,40-60,50-60,Wales & West,F,46,06/06/97,0,6000,Midlands,Gold,0,8,1
0018216889,M,13/10/47,23/02/98,50,40-60,50-60,Wales & West,C,22,15/04/96,0,1006.74,Midlands,Silver,0,11,2
0018217958,M,10/08/43,23/02/98,54,40-60,50-60,Midlands,C,18,03/11/93,0,0.01,Midlands,Tin,0,15,5
0018219632,F,17/08/44,23/02/98,,,,S & S East,C,19,25/01/96,0,9000,South East,Gold,0,9,3
0018219918,M,30/06/52,23/02/98,45,40-60,40-50,East,D,28,13/07/93,0,0.01,Midlands,Tin,0,8,5
0018220312,F,08/04/61,23/02/98,36,20-40,30-40,Yorkshire,D,32,01/04/92,1,0.01,North,Tin,1,12,6
0018221688,U,26/12/54,23/02/98,43,40-60,40-50,Yorkshire,E,37,14/06/91,0,50,North,Silver,0,8,7
0018224504,F,10/06/30,23/02/98,67,60-80,60-70,London,C,26,04/06/92,1,9000,South East,Gold,1,9,6
0018228097,M,04/05/35,23/02/98,62,60-80,60-70,N West,A,01,24/08/93,0,1000,North,Silver,0,4,5
0018229891,M,23/01/55,23/02/98,43,40-60,40-50,S & S East,F,50,09/04/97,0,6448,South East,Gold,0,5,1
0018232256,F,17/10/25,23/02/98,,,,N West,E,37,10/01/96,0,6000,North,Gold,0,9,3
0018232957,,23/07/42,23/02/98,55,40-60,50-60,Wales & West,D,28,24/02/94,0,0.01,Midlands,Tin,0,8,4
0018236804,F,17/09/48,23/02/98,49,40-60,40-50,East,B,14,27/09/93,0,0.01,Midlands,Tin,0,9,5
0018238114,F,28/04/48,23/02/98,49,40-60,40-50,N West,E,42,18/09/93,0,0.01,North,Tin,0,8,5
0018239536,F,13/10/44,23/02/98,53,40-60,50-60,N West,C,16,08/03/94,0,0.02,North,Silver,0,3,4
0018239595,,02/07/42,23/02/98,55,40-60,50-60,London,C,24,03/10/91,0,0.01,South East,Tin,0,11,7
0018244777,,18/02/47,23/02/98,51,40-60,50-60,,C,23,10/02/94,0,0.01,,Tin,0,8,5
0018247229,F,21/07/43,23/02/98,54,40-60,50-60,Wales & West,C,22,10/07/92,0,6053.35,Midlands,Gold,0,7,6
0018249019,M,04/03/52,23/02/98,46,40-60,40-50,N West,F,52,08/08/94,0,0.01,North,Tin,0,5,4
0018249493,F,07/01/55,23/02/98,43,40-60,40-50,East,F,49,12/10/87,0,0.01,Midlands,Tin,0,16,11
0018250114,,04/12/35,23/02/98,62,60-80,60-70,London,B,10,20/02/90,0,500,South East,Silver,0,7,9
0018250580,F,04/09/32,23/02/98,65,60-80,60-70,East,D,34,30/10/96,0,6000,Midlands,Gold,0,6,2
0018250637,F,07/05/34,23/02/98,63,60-80,60-70,Midlands,A,04,29/09/93,0,10213,Midlands,Gold,0,3,5
0018251412,F,07/05/18,23/02/98,79,60-80,70-80,N West,C,19,04/03/71,1,4553.52,North,Silver,1,8,27
0018251668,F,25/01/59,23/02/98,39,20-40,30-40,S & S East,B,06,01/04/87,1,2240,South East,Silver,1,9,11
0018256678,M,30/04/63,23/02/98,34,20-40,30-40,London,F,50,09/12/93,1,0.01,South East,Tin,1,14,5
0018257089,F,04/04/18,23/02/98,79,60-80,70-80,C Scotland,B,10,29/09/94,0,9038.66,Scottish,Gold,0,9,4
0018257283,F,05/12/62,23/02/98,35,20-40,30-40,Wales & West,A,02,11/06/93,1,1000,Midlands,Silver,1,10,5
0018258514,F,28/11/64,23/02/98,33,20-40,30-40,Midlands,E,38,09/08/93,0,700,Midlands,Silver,0,3,5
0018259952,M,24/08/32,23/02/98,65,60-80,60-70,Border,E,45,15/03/85,0,0.01,Scottish,Tin,0,5,13
0018260713,,27/02/43,23/02/98,55,40-60,50-60,S & S East,C,22,26/07/94,0,420,South East,Silver,0,4,4
0018264190,F,02/04/29,23/02/98,68,60-80,60-70,London,C,16,06/05/97,1,2000,South East,Silver,1,6,1
0018268773,F,28/08/52,23/02/98,45,40-60,40-50,London,F,53,01/04/90,0,0.01,South East,Tin,0,5,8
0018269427,M,27/11/36,23/02/98,61,60-80,60-70,N West,B,12,12/02/94,0,0.01,North,Tin,0,9,5
0018271677,F,01/07/40,23/02/98,,,,S & S East,E,38,31/01/91,1,3000,South East,Silver,1,14,8
0018271847,F,14/05/64,23/02/98,33,20-40,30-40,S West,F,50,08/09/95,2,3000,South West,Silver,1,10,3
0018274250,M,19/01/28,23/02/98,70,60-80,70-80,S & S East,A,02,01/02/90,0,0.01,South East,Tin,0,,9
